;NDX Index;;MXIM UW Equity;;DISH UW Equity;;AMZN UW Equity;;CSCO UW Equity;;INTC UW Equity;;MSFT UW Equity;;EBAY UW Equity;;ADBE UW Equity;;AMGN UW Equity;;AAPL UW Equity;;CTAS UW Equity;;CMCSA UW Equity;;KLAC UW Equity;;PCAR UW Equity;;COST UW Equity;;AMAT UW Equity;;EA UW Equity;;FI UW Equity;;BIIB UW Equity;;PAYX UW Equity;;QCOM UW Equity;;SBUX UW Equity;;XLNX UW Equity;;INTU UW Equity;;MCHP UW Equity;;CHKP UW Equity;;CTXS UW Equity
22/09/2011;2184,59;28/09/2012;26,62;22/09/2011;25,30;22/09/2011;11,16;22/09/2011;15,33;22/09/2011;21,62;22/09/2011;25,06;22/09/2011;13,33;22/09/2011;24,31;22/09/2011;55,04;22/09/2011;14,35;22/09/2011;7,19;22/09/2011;10,51;22/09/2011;37,08;22/09/2011;22,28;22/09/2011;83,19;22/09/2011;10,36;22/09/2011;20,76;22/09/2011;12,38;26/09/2011;88,18;22/09/2011;25,90;22/09/2011;50,03;22/09/2011;19,30;22/09/2011;28,28;22/09/2011;46,70;22/09/2011;16,06;22/09/2011;52,19;22/09/2011;41,56
23/09/2011;2206,86;01/10/2012;27,20;23/09/2011;26,65;23/09/2011;11,18;23/09/2011;15,61;23/09/2011;22,16;23/09/2011;25,06;23/09/2011;13,50;23/09/2011;24,88;23/09/2011;55,10;23/09/2011;14,44;23/09/2011;7,10;23/09/2011;10,70;23/09/2011;37,73;23/09/2011;22,71;23/09/2011;83,37;23/09/2011;10,59;23/09/2011;21,25;23/09/2011;12,41;27/09/2011;89,04;23/09/2011;26,22;23/09/2011;50,29;23/09/2011;19,36;23/09/2011;28,92;23/09/2011;47,27;23/09/2011;16,46;23/09/2011;52,87;23/09/2011;42,30
26/09/2011;2234,28;02/10/2012;27,22;26/09/2011;27,52;26/09/2011;11,49;26/09/2011;15,99;26/09/2011;22,24;26/09/2011;25,44;26/09/2011;13,70;26/09/2011;25,13;26/09/2011;55,43;26/09/2011;14,40;26/09/2011;7,23;26/09/2011;10,95;26/09/2011;39,69;26/09/2011;23,32;26/09/2011;84,45;26/09/2011;10,38;26/09/2011;21,76;26/09/2011;12,67;28/09/2011;87,54;26/09/2011;26,58;26/09/2011;50,58;26/09/2011;19,76;26/09/2011;28,84;26/09/2011;48,03;26/09/2011;16,26;26/09/2011;53,41;26/09/2011;44,26
27/09/2011;2253,55;03/10/2012;27,33;27/09/2011;27,80;27/09/2011;11,21;27/09/2011;16,07;27/09/2011;22,54;27/09/2011;25,67;27/09/2011;13,69;27/09/2011;25,56;27/09/2011;56,52;27/09/2011;14,26;27/09/2011;7,25;27/09/2011;11,17;27/09/2011;40,04;27/09/2011;24,15;27/09/2011;84,33;27/09/2011;10,79;27/09/2011;21,92;27/09/2011;12,98;29/09/2011;87,01;27/09/2011;26,69;27/09/2011;51,78;27/09/2011;19,93;27/09/2011;29,22;27/09/2011;48,77;27/09/2011;16,60;27/09/2011;54,56;27/09/2011;46,14
28/09/2011;2220,84;04/10/2012;27,48;28/09/2011;27,05;28/09/2011;11,48;28/09/2011;15,84;28/09/2011;22,32;28/09/2011;25,56;28/09/2011;13,33;28/09/2011;25,13;28/09/2011;55,67;28/09/2011;14,18;28/09/2011;7,10;28/09/2011;10,99;28/09/2011;38,86;28/09/2011;23,37;28/09/2011;83,79;28/09/2011;10,61;28/09/2011;21,01;28/09/2011;12,69;30/09/2011;85,80;28/09/2011;26,92;28/09/2011;51,06;28/09/2011;19,72;28/09/2011;28,53;28/09/2011;48,33;28/09/2011;16,21;28/09/2011;53,59;28/09/2011;45,87
29/09/2011;2197,68;05/10/2012;27,79;29/09/2011;26,09;29/09/2011;11,12;29/09/2011;15,85;29/09/2011;22,21;29/09/2011;25,45;29/09/2011;12,91;29/09/2011;24,99;29/09/2011;55,78;29/09/2011;13,95;29/09/2011;7,22;29/09/2011;10,85;29/09/2011;39,03;29/09/2011;23,79;29/09/2011;82,98;29/09/2011;10,62;29/09/2011;20,62;29/09/2011;12,71;03/10/2011;81,94;29/09/2011;27,11;29/09/2011;50,13;29/09/2011;19,09;29/09/2011;28,36;29/09/2011;48,44;29/09/2011;16,01;29/09/2011;53,41;29/09/2011;45,28
30/09/2011;2139,18;08/10/2012;27,81;30/09/2011;24,96;30/09/2011;10,81;30/09/2011;15,49;30/09/2011;21,33;30/09/2011;24,89;30/09/2011;12,41;30/09/2011;24,17;30/09/2011;54,95;30/09/2011;13,61;30/09/2011;7,04;30/09/2011;10,45;30/09/2011;38,28;30/09/2011;22,55;30/09/2011;82,12;30/09/2011;10,35;30/09/2011;20,45;30/09/2011;12,69;04/10/2011;84,43;30/09/2011;26,37;30/09/2011;48,63;30/09/2011;18,65;30/09/2011;27,44;30/09/2011;47,44;30/09/2011;15,56;30/09/2011;52,76;30/09/2011;43,42
03/10/2011;2085,04;09/10/2012;27,39;03/10/2011;23,53;03/10/2011;10,60;03/10/2011;15,19;03/10/2011;20,62;03/10/2011;24,53;03/10/2011;11,83;03/10/2011;23,26;03/10/2011;53,90;03/10/2011;13,38;03/10/2011;6,72;03/10/2011;10,18;03/10/2011;37,23;03/10/2011;21,75;03/10/2011;81,63;03/10/2011;9,85;03/10/2011;19,76;03/10/2011;12,55;05/10/2011;90,92;03/10/2011;25,55;03/10/2011;47,65;03/10/2011;18,10;03/10/2011;27,06;03/10/2011;45,84;03/10/2011;15,22;03/10/2011;51,70;03/10/2011;42,16
04/10/2011;2129,21;10/10/2012;26,72;04/10/2011;24,70;04/10/2011;10,63;04/10/2011;15,58;04/10/2011;21,22;04/10/2011;25,34;04/10/2011;12,35;04/10/2011;24,04;04/10/2011;54,35;04/10/2011;13,30;04/10/2011;6,86;04/10/2011;10,59;04/10/2011;38,77;04/10/2011;22,94;04/10/2011;81,65;04/10/2011;10,27;04/10/2011;20,27;04/10/2011;13,13;06/10/2011;91,57;04/10/2011;25,90;04/10/2011;49,43;04/10/2011;18,63;04/10/2011;28,05;04/10/2011;46,90;04/10/2011;15,84;04/10/2011;53,07;04/10/2011;44,56
05/10/2011;2182,77;11/10/2012;26,87;05/10/2011;24,82;05/10/2011;10,97;05/10/2011;16,18;05/10/2011;21,84;05/10/2011;25,91;05/10/2011;12,85;05/10/2011;24,70;05/10/2011;55,95;05/10/2011;13,52;05/10/2011;7,03;05/10/2011;10,82;05/10/2011;40,15;05/10/2011;23,75;05/10/2011;80,25;05/10/2011;10,59;05/10/2011;20,96;05/10/2011;13,23;07/10/2011;92,12;05/10/2011;26,24;05/10/2011;50,77;05/10/2011;19,03;05/10/2011;28,28;05/10/2011;47,24;05/10/2011;16,33;05/10/2011;54,06;05/10/2011;44,56
06/10/2011;2217,99;12/10/2012;26,73;06/10/2011;24,96;06/10/2011;11,08;06/10/2011;16,75;06/10/2011;22,03;06/10/2011;26,34;06/10/2011;13,23;06/10/2011;25,33;06/10/2011;56,83;06/10/2011;13,48;06/10/2011;7,13;06/10/2011;11,05;06/10/2011;40,08;06/10/2011;24,35;06/10/2011;79,20;06/10/2011;10,75;06/10/2011;22,56;06/10/2011;13,39;10/10/2011;92,74;06/10/2011;26,77;06/10/2011;50,87;06/10/2011;19,25;06/10/2011;28,69;06/10/2011;48,77;06/10/2011;16,65;06/10/2011;56,45;06/10/2011;44,31
07/10/2011;2202,76;15/10/2012;26,96;07/10/2011;26,08;07/10/2011;11,24;07/10/2011;16,66;07/10/2011;22,29;07/10/2011;26,25;07/10/2011;13,08;07/10/2011;25,28;07/10/2011;56,27;07/10/2011;13,21;07/10/2011;7,05;07/10/2011;11,03;07/10/2011;41,54;07/10/2011;24,12;07/10/2011;79,02;07/10/2011;10,71;07/10/2011;22,38;07/10/2011;13,35;11/10/2011;91,12;07/10/2011;27,11;07/10/2011;50,23;07/10/2011;19,63;07/10/2011;28,78;07/10/2011;48,53;07/10/2011;16,84;07/10/2011;56,01;07/10/2011;43,75
10/10/2011;2278,65;16/10/2012;27,68;10/10/2011;27,45;10/10/2011;11,57;10/10/2011;17,09;10/10/2011;22,88;10/10/2011;26,94;10/10/2011;13,59;10/10/2011;25,76;10/10/2011;57,37;10/10/2011;13,89;10/10/2011;7,24;10/10/2011;11,53;10/10/2011;42,91;10/10/2011;24,92;10/10/2011;81,23;10/10/2011;11,01;10/10/2011;23,59;10/10/2011;13,68;12/10/2011;90,97;10/10/2011;27,75;10/10/2011;52,09;10/10/2011;20,46;10/10/2011;29,56;10/10/2011;50,27;10/10/2011;17,18;10/10/2011;57,81;10/10/2011;46,18
11/10/2011;2294,92;17/10/2012;27,65;11/10/2011;27,47;11/10/2011;11,77;11/10/2011;16,99;11/10/2011;22,99;11/10/2011;27,00;11/10/2011;13,82;11/10/2011;25,84;11/10/2011;57,09;11/10/2011;14,30;11/10/2011;7,21;11/10/2011;11,49;11/10/2011;42,91;11/10/2011;25,35;11/10/2011;80,90;11/10/2011;10,98;11/10/2011;23,51;11/10/2011;13,75;13/10/2011;93,33;11/10/2011;27,85;11/10/2011;51,65;11/10/2011;20,67;11/10/2011;29,42;11/10/2011;51,18;11/10/2011;17,16;11/10/2011;57,00;11/10/2011;48,72
12/10/2011;2307,18;18/10/2012;27,39;12/10/2011;27,52;12/10/2011;11,84;12/10/2011;17,25;12/10/2011;23,12;12/10/2011;26,96;12/10/2011;13,78;12/10/2011;25,88;12/10/2011;56,64;12/10/2011;14,36;12/10/2011;7,35;12/10/2011;11,80;12/10/2011;43,83;12/10/2011;25,93;12/10/2011;81,42;12/10/2011;11,30;12/10/2011;23,73;12/10/2011;14,08;14/10/2011;94,95;12/10/2011;28,29;12/10/2011;52,04;12/10/2011;20,76;12/10/2011;29,48;12/10/2011;52,00;12/10/2011;17,23;12/10/2011;56,15;12/10/2011;49,47
13/10/2011;2326,88;19/10/2012;26,64;13/10/2011;27,20;13/10/2011;11,81;13/10/2011;17,42;13/10/2011;23,39;13/10/2011;27,18;13/10/2011;13,78;13/10/2011;25,80;13/10/2011;56,98;13/10/2011;14,59;13/10/2011;7,31;13/10/2011;11,78;13/10/2011;43,76;13/10/2011;25,86;13/10/2011;81,67;13/10/2011;11,58;13/10/2011;23,83;13/10/2011;14,07;17/10/2011;93,43;13/10/2011;28,24;13/10/2011;53,31;13/10/2011;20,55;13/10/2011;30,04;13/10/2011;51,99;13/10/2011;17,66;13/10/2011;57,59;13/10/2011;49,64
14/10/2011;2371,94;22/10/2012;26,63;14/10/2011;27,39;14/10/2011;12,34;14/10/2011;17,55;14/10/2011;23,50;14/10/2011;27,27;14/10/2011;14,18;14/10/2011;26,81;14/10/2011;57,49;14/10/2011;15,07;14/10/2011;7,39;14/10/2011;11,97;14/10/2011;43,85;14/10/2011;26,56;14/10/2011;81,77;14/10/2011;11,60;14/10/2011;24,54;14/10/2011;14,36;18/10/2011;94,54;14/10/2011;28,50;14/10/2011;54,98;14/10/2011;21,11;14/10/2011;30,59;14/10/2011;53,01;14/10/2011;16,73;14/10/2011;58,89;14/10/2011;50,18
17/10/2011;2334,38;23/10/2012;26,72;17/10/2011;26,57;17/10/2011;12,12;17/10/2011;17,17;17/10/2011;23,28;17/10/2011;26,98;17/10/2011;13,98;17/10/2011;26,24;17/10/2011;56,44;17/10/2011;15,00;17/10/2011;7,21;17/10/2011;11,71;17/10/2011;43,23;17/10/2011;25,78;17/10/2011;82,36;17/10/2011;11,39;17/10/2011;23,83;17/10/2011;14,27;19/10/2011;94,03;17/10/2011;28,06;17/10/2011;53,64;17/10/2011;20,58;17/10/2011;30,27;17/10/2011;52,28;17/10/2011;16,69;17/10/2011;58,03;17/10/2011;49,54
18/10/2011;2364,87;24/10/2012;26,28;18/10/2011;26,03;18/10/2011;12,19;18/10/2011;17,51;18/10/2011;23,40;18/10/2011;27,31;18/10/2011;14,26;18/10/2011;26,76;18/10/2011;57,28;18/10/2011;15,08;18/10/2011;7,31;18/10/2011;11,89;18/10/2011;43,75;18/10/2011;26,89;18/10/2011;84,57;18/10/2011;11,66;18/10/2011;24,51;18/10/2011;14,48;20/10/2011;93,65;18/10/2011;28,56;18/10/2011;54,56;18/10/2011;21,23;18/10/2011;30,81;18/10/2011;52,50;18/10/2011;16,86;18/10/2011;59,66;18/10/2011;51,36
19/10/2011;2316,81;25/10/2012;26,49;19/10/2011;25,50;19/10/2011;11,58;19/10/2011;17,16;19/10/2011;24,24;19/10/2011;27,13;19/10/2011;13,96;19/10/2011;26,02;19/10/2011;57,32;19/10/2011;14,24;19/10/2011;7,26;19/10/2011;11,77;19/10/2011;43,22;19/10/2011;26,73;19/10/2011;84,38;19/10/2011;11,48;19/10/2011;23,62;19/10/2011;14,25;21/10/2011;100,25;19/10/2011;28,11;19/10/2011;52,60;19/10/2011;20,46;19/10/2011;29,60;19/10/2011;51,94;19/10/2011;16,72;19/10/2011;58,86;19/10/2011;51,11
20/10/2011;2306,29;26/10/2012;27,77;20/10/2011;25,38;20/10/2011;11,68;20/10/2011;17,19;20/10/2011;23,61;20/10/2011;27,04;20/10/2011;13,53;20/10/2011;26,08;20/10/2011;57,27;20/10/2011;14,12;20/10/2011;7,25;20/10/2011;11,79;20/10/2011;42,54;20/10/2011;26,67;20/10/2011;84,26;20/10/2011;11,33;20/10/2011;23,41;20/10/2011;14,42;24/10/2011;100,88;20/10/2011;28,28;20/10/2011;52,01;20/10/2011;20,50;20/10/2011;29,60;20/10/2011;52,28;20/10/2011;16,51;20/10/2011;59,43;20/10/2011;50,97
21/10/2011;2335,93;31/10/2012;27,53;21/10/2011;25,81;21/10/2011;11,74;21/10/2011;17,38;21/10/2011;24,04;21/10/2011;27,16;21/10/2011;13,51;21/10/2011;27,30;21/10/2011;58,59;21/10/2011;14,04;21/10/2011;7,36;21/10/2011;12,16;21/10/2011;43,30;21/10/2011;27,17;21/10/2011;85,30;21/10/2011;11,69;21/10/2011;23,58;21/10/2011;14,62;25/10/2011;98,44;21/10/2011;28,78;21/10/2011;52,02;21/10/2011;21,05;21/10/2011;30,22;21/10/2011;53,50;21/10/2011;16,90;21/10/2011;59,08;21/10/2011;51,31
24/10/2011;2384,42;01/11/2012;28,52;24/10/2011;26,34;24/10/2011;11,88;24/10/2011;17,54;24/10/2011;24,59;24/10/2011;27,19;24/10/2011;13,62;24/10/2011;28,20;24/10/2011;58,95;24/10/2011;14,49;24/10/2011;7,52;24/10/2011;12,34;24/10/2011;44,82;24/10/2011;28,25;24/10/2011;84,48;24/10/2011;11,93;24/10/2011;24,94;24/10/2011;14,73;26/10/2011;107,70;24/10/2011;29,18;24/10/2011;53,61;24/10/2011;21,27;24/10/2011;31,49;24/10/2011;54,00;24/10/2011;17,35;24/10/2011;59,59;24/10/2011;52,65
25/10/2011;2335,87;02/11/2012;28,08;25/10/2011;25,72;25/10/2011;11,36;25/10/2011;17,60;25/10/2011;24,63;25/10/2011;26,82;25/10/2011;13,33;25/10/2011;27,85;25/10/2011;56,45;25/10/2011;14,21;25/10/2011;7,39;25/10/2011;12,11;25/10/2011;44,82;25/10/2011;27,67;25/10/2011;83,23;25/10/2011;11,78;25/10/2011;24,47;25/10/2011;14,43;27/10/2011;108,45;25/10/2011;28,61;25/10/2011;52,32;25/10/2011;20,64;25/10/2011;31,56;25/10/2011;53,32;25/10/2011;17,27;25/10/2011;57,95;25/10/2011;51,99
26/10/2011;2334,79;05/11/2012;28,72;26/10/2011;25,88;26/10/2011;9,92;26/10/2011;17,60;26/10/2011;24,70;26/10/2011;26,59;26/10/2011;13,08;26/10/2011;27,81;26/10/2011;56,95;26/10/2011;14,31;26/10/2011;7,38;26/10/2011;12,41;26/10/2011;45,21;26/10/2011;27,67;26/10/2011;83,73;26/10/2011;11,84;26/10/2011;24,39;26/10/2011;14,61;28/10/2011;109,35;26/10/2011;28,91;26/10/2011;51,60;26/10/2011;20,70;26/10/2011;31,84;26/10/2011;52,97;26/10/2011;17,62;26/10/2011;59,09;26/10/2011;51,14
27/10/2011;2399,83;06/11/2012;29,36;27/10/2011;25,34;27/10/2011;10,34;27/10/2011;18,44;27/10/2011;25,13;27/10/2011;27,25;27/10/2011;13,59;27/10/2011;28,34;27/10/2011;58,06;27/10/2011;14,45;27/10/2011;7,64;27/10/2011;12,30;27/10/2011;47,31;27/10/2011;29,26;27/10/2011;85,22;27/10/2011;12,54;27/10/2011;24,50;27/10/2011;15,29;31/10/2011;107,18;27/10/2011;29,92;27/10/2011;53,52;27/10/2011;21,54;27/10/2011;33,25;27/10/2011;55,21;27/10/2011;18,18;27/10/2011;60,17;27/10/2011;60,00
28/10/2011;2401,29;07/11/2012;28,60;28/10/2011;24,34;28/10/2011;10,87;28/10/2011;18,56;28/10/2011;24,98;28/10/2011;26,98;28/10/2011;13,99;28/10/2011;29,02;28/10/2011;57,24;28/10/2011;14,46;28/10/2011;7,58;28/10/2011;11,93;28/10/2011;47,35;28/10/2011;29,46;28/10/2011;84,93;28/10/2011;12,62;28/10/2011;24,10;28/10/2011;15,19;01/11/2011;104,97;28/10/2011;29,36;28/10/2011;53,23;28/10/2011;21,25;28/10/2011;33,19;28/10/2011;54,61;28/10/2011;18,23;28/10/2011;59,11;28/10/2011;58,42
31/10/2011;2360,08;08/11/2012;28,68;31/10/2011;24,07;31/10/2011;10,68;31/10/2011;18,53;31/10/2011;24,54;31/10/2011;26,63;31/10/2011;13,40;31/10/2011;29,41;31/10/2011;57,27;31/10/2011;14,46;31/10/2011;7,47;31/10/2011;11,73;31/10/2011;47,09;31/10/2011;28,83;31/10/2011;83,25;31/10/2011;12,32;31/10/2011;23,35;31/10/2011;14,72;02/11/2011;104,48;31/10/2011;29,14;31/10/2011;51,60;31/10/2011;21,17;31/10/2011;33,46;31/10/2011;53,67;31/10/2011;18,08;31/10/2011;57,63;31/10/2011;57,99
01/11/2011;2298,37;09/11/2012;28,39;01/11/2011;23,74;01/11/2011;10,60;01/11/2011;17,59;01/11/2011;23,89;01/11/2011;25,98;01/11/2011;13,02;01/11/2011;28,59;01/11/2011;55,56;01/11/2011;14,16;01/11/2011;7,10;01/11/2011;11,49;01/11/2011;45,25;01/11/2011;28,13;01/11/2011;83,35;01/11/2011;11,92;01/11/2011;22,46;01/11/2011;14,28;03/11/2011;105,05;01/11/2011;28,46;01/11/2011;50,14;01/11/2011;20,61;01/11/2011;32,55;01/11/2011;51,90;01/11/2011;17,24;01/11/2011;56,56;01/11/2011;55,83
02/11/2011;2318,32;12/11/2012;28,49;02/11/2011;23,60;02/11/2011;10,78;02/11/2011;17,85;02/11/2011;23,85;02/11/2011;26,01;02/11/2011;13,38;02/11/2011;29,35;02/11/2011;54,80;02/11/2011;14,19;02/11/2011;7,27;02/11/2011;11,51;02/11/2011;45,72;02/11/2011;28,51;02/11/2011;84,43;02/11/2011;12,04;02/11/2011;23,48;02/11/2011;14,19;04/11/2011;104,54;02/11/2011;28,70;02/11/2011;52,18;02/11/2011;20,59;02/11/2011;31,81;02/11/2011;52,41;02/11/2011;17,31;02/11/2011;58,65;02/11/2011;56,98
03/11/2011;2367,71;13/11/2012;28,30;03/11/2011;23,59;03/11/2011;10,92;03/11/2011;18,18;03/11/2011;24,20;03/11/2011;26,53;03/11/2011;13,91;03/11/2011;30,16;03/11/2011;55,70;03/11/2011;14,40;03/11/2011;7,41;03/11/2011;11,66;03/11/2011;47,26;03/11/2011;29,23;03/11/2011;84,70;03/11/2011;12,36;03/11/2011;24,38;03/11/2011;14,57;07/11/2011;105,02;03/11/2011;29,56;03/11/2011;56,11;03/11/2011;20,70;03/11/2011;32,42;03/11/2011;53,95;03/11/2011;17,89;03/11/2011;58,65;03/11/2011;59,35
04/11/2011;2356,32;14/11/2012;27,88;04/11/2011;23,39;04/11/2011;10,82;04/11/2011;18,03;04/11/2011;23,74;04/11/2011;26,25;04/11/2011;13,77;04/11/2011;29,79;04/11/2011;55,17;04/11/2011;14,29;04/11/2011;7,41;04/11/2011;11,38;04/11/2011;47,48;04/11/2011;29,04;04/11/2011;83,81;04/11/2011;12,42;04/11/2011;25,20;04/11/2011;14,50;08/11/2011;104,93;04/11/2011;29,41;04/11/2011;56,50;04/11/2011;22,10;04/11/2011;32,85;04/11/2011;53,72;04/11/2011;18,51;04/11/2011;59,08;04/11/2011;59,11
07/11/2011;2371,04;15/11/2012;27,42;07/11/2011;24,56;07/11/2011;10,85;07/11/2011;18,01;07/11/2011;24,28;07/11/2011;26,80;07/11/2011;13,67;07/11/2011;29,92;07/11/2011;58,43;07/11/2011;14,28;07/11/2011;7,44;07/11/2011;11,33;07/11/2011;47,29;07/11/2011;28,99;07/11/2011;84,16;07/11/2011;12,41;07/11/2011;24,49;07/11/2011;14,56;09/11/2011;102,46;07/11/2011;29,50;07/11/2011;56,92;07/11/2011;22,12;07/11/2011;32,97;07/11/2011;53,33;07/11/2011;18,28;07/11/2011;58,49;07/11/2011;58,60
08/11/2011;2400,01;16/11/2012;27,02;08/11/2011;24,32;08/11/2011;10,90;08/11/2011;18,31;08/11/2011;24,75;08/11/2011;27,16;08/11/2011;13,86;08/11/2011;30,42;08/11/2011;58,00;08/11/2011;14,51;08/11/2011;7,47;08/11/2011;11,38;08/11/2011;47,81;08/11/2011;29,33;08/11/2011;85,00;08/11/2011;12,64;08/11/2011;24,24;08/11/2011;14,77;10/11/2011;103,24;08/11/2011;29,58;08/11/2011;57,03;08/11/2011;22,18;08/11/2011;33,31;08/11/2011;54,07;08/11/2011;18,46;08/11/2011;58,83;08/11/2011;59,15
09/11/2011;2314,10;19/11/2012;27,47;09/11/2011;24,06;09/11/2011;10,56;09/11/2011;17,61;09/11/2011;23,84;09/11/2011;26,20;09/11/2011;13,12;09/11/2011;28,08;09/11/2011;57,51;09/11/2011;14,12;09/11/2011;7,16;09/11/2011;10,81;09/11/2011;45,51;09/11/2011;27,87;09/11/2011;83,41;09/11/2011;12,14;09/11/2011;23,03;09/11/2011;14,22;11/11/2011;104,43;09/11/2011;28,61;09/11/2011;55,41;09/11/2011;21,48;09/11/2011;31,95;09/11/2011;52,34;09/11/2011;17,73;09/11/2011;57,48;09/11/2011;56,36
10/11/2011;2312,07;20/11/2012;27,44;10/11/2011;25,11;10/11/2011;10,54;10/11/2011;18,61;10/11/2011;24,06;10/11/2011;26,28;10/11/2011;12,94;10/11/2011;28,03;10/11/2011;57,96;10/11/2011;13,76;10/11/2011;7,19;10/11/2011;11,09;10/11/2011;46,35;10/11/2011;27,90;10/11/2011;82,72;10/11/2011;12,25;10/11/2011;23,57;10/11/2011;14,30;14/11/2011;104,95;10/11/2011;28,77;10/11/2011;55,21;10/11/2011;21,76;10/11/2011;31,98;10/11/2011;52,80;10/11/2011;17,88;10/11/2011;57,82;10/11/2011;56,61
11/11/2011;2355,78;21/11/2012;27,66;11/11/2011;25,68;11/11/2011;10,87;11/11/2011;19,02;11/11/2011;24,85;11/11/2011;26,91;11/11/2011;13,37;11/11/2011;28,43;11/11/2011;57,86;11/11/2011;13,74;11/11/2011;7,34;11/11/2011;11,26;11/11/2011;48,45;11/11/2011;28,44;11/11/2011;83,04;11/11/2011;12,73;11/11/2011;23,90;11/11/2011;14,54;15/11/2011;104,15;11/11/2011;29,40;11/11/2011;56,62;11/11/2011;22,17;11/11/2011;32,85;11/11/2011;54,02;11/11/2011;18,38;11/11/2011;58,33;11/11/2011;58,92
14/11/2011;2341,32;23/11/2012;28,18;14/11/2011;25,46;14/11/2011;10,95;14/11/2011;18,95;14/11/2011;24,63;14/11/2011;26,76;14/11/2011;13,22;14/11/2011;28,24;14/11/2011;57,33;14/11/2011;13,55;14/11/2011;7,27;14/11/2011;11,11;14/11/2011;47,80;14/11/2011;27,53;14/11/2011;83,45;14/11/2011;12,54;14/11/2011;23,75;14/11/2011;14,45;16/11/2011;101,59;14/11/2011;29,12;14/11/2011;57,10;14/11/2011;21,83;14/11/2011;32,53;14/11/2011;53,26;14/11/2011;18,22;14/11/2011;57,63;14/11/2011;59,39
15/11/2011;2366,24;26/11/2012;28,29;15/11/2011;24,09;15/11/2011;10,89;15/11/2011;19,12;15/11/2011;25,34;15/11/2011;26,74;15/11/2011;13,24;15/11/2011;28,47;15/11/2011;56,59;15/11/2011;13,89;15/11/2011;7,29;15/11/2011;11,15;15/11/2011;48,42;15/11/2011;27,48;15/11/2011;84,48;15/11/2011;12,64;15/11/2011;23,81;15/11/2011;14,59;17/11/2011;100,98;15/11/2011;29,40;15/11/2011;57,40;15/11/2011;22,02;15/11/2011;32,97;15/11/2011;53,89;15/11/2011;18,44;15/11/2011;58,89;15/11/2011;60,48
16/11/2011;2324,37;27/11/2012;28,30;16/11/2011;23,94;16/11/2011;10,60;16/11/2011;18,80;16/11/2011;24,94;16/11/2011;26,07;16/11/2011;12,85;16/11/2011;28,54;16/11/2011;56,01;16/11/2011;13,74;16/11/2011;7,30;16/11/2011;10,76;16/11/2011;47,54;16/11/2011;26,86;16/11/2011;82,94;16/11/2011;12,47;16/11/2011;23,06;16/11/2011;14,30;18/11/2011;99,16;16/11/2011;28,73;16/11/2011;56,88;16/11/2011;21,51;16/11/2011;32,69;16/11/2011;53,45;16/11/2011;18,31;16/11/2011;56,65;16/11/2011;59,95
17/11/2011;2272,09;28/11/2012;28,85;17/11/2011;24,52;17/11/2011;10,23;17/11/2011;18,48;17/11/2011;24,34;17/11/2011;25,54;17/11/2011;12,48;17/11/2011;27,69;17/11/2011;55,91;17/11/2011;13,48;17/11/2011;7,29;17/11/2011;10,63;17/11/2011;45,49;17/11/2011;26,27;17/11/2011;81,98;17/11/2011;11,53;17/11/2011;22,32;17/11/2011;14,12;21/11/2011;99,38;17/11/2011;28,32;17/11/2011;56,38;17/11/2011;21,02;17/11/2011;31,76;17/11/2011;51,75;17/11/2011;17,40;17/11/2011;54,07;17/11/2011;57,69
18/11/2011;2253,95;29/11/2012;29,40;18/11/2011;24,63;18/11/2011;9,86;18/11/2011;18,42;18/11/2011;24,29;18/11/2011;25,30;18/11/2011;12,55;18/11/2011;27,18;18/11/2011;55,57;18/11/2011;13,39;18/11/2011;7,42;18/11/2011;10,72;18/11/2011;44,39;18/11/2011;26,11;18/11/2011;81,72;18/11/2011;11,23;18/11/2011;21,99;18/11/2011;14,13;22/11/2011;104,55;18/11/2011;28,22;18/11/2011;55,67;18/11/2011;21,01;18/11/2011;31,47;18/11/2011;52,04;18/11/2011;17,29;18/11/2011;53,92;18/11/2011;56,17
21/11/2011;2211,14;30/11/2012;29,19;21/11/2011;23,50;21/11/2011;9,46;21/11/2011;18,00;21/11/2011;23,57;21/11/2011;25,00;21/11/2011;12,10;21/11/2011;26,63;21/11/2011;54,97;21/11/2011;13,18;21/11/2011;7,19;21/11/2011;10,76;21/11/2011;44,26;21/11/2011;25,59;21/11/2011;81,29;21/11/2011;10,89;21/11/2011;21,63;21/11/2011;13,99;23/11/2011;101,26;21/11/2011;27,89;21/11/2011;54,27;21/11/2011;20,84;21/11/2011;31,23;21/11/2011;50,76;21/11/2011;17,01;21/11/2011;52,97;21/11/2011;54,89
22/11/2011;2216,33;03/12/2012;28,65;22/11/2011;23,67;22/11/2011;9,62;22/11/2011;17,92;22/11/2011;23,24;22/11/2011;24,79;22/11/2011;12,22;22/11/2011;26,33;22/11/2011;55,66;22/11/2011;13,45;22/11/2011;7,12;22/11/2011;10,70;22/11/2011;43,31;22/11/2011;25,25;22/11/2011;81,81;22/11/2011;10,57;22/11/2011;21,86;22/11/2011;13,79;25/11/2011;100,58;22/11/2011;27,75;22/11/2011;54,48;22/11/2011;21,14;22/11/2011;31,09;22/11/2011;50,39;22/11/2011;16,60;22/11/2011;53,62;22/11/2011;54,28
